Date,Code,Name,Close,Marcap,Stocks,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Institution_Net_Est_Value,Foreign_Net_Est_Value,Basket,KOSPI_Marcap,KOSPI_Share_Pct
2026-06-18,278470,에이피알,378000.0,14151622590000.0,37438155,378000.0,-100446.0,-136998.0,-37968588000.0,-51785244000.0,생활소비재,7413247265338499.0,0.19089640589984852
2026-06-19,024110,기업은행,21450.0,17104784890050.0,797425869,21450.0,-72345.0,69523.0,-1551800250.0,1491268350.0,금융,7398874682927318.0,0.23118089740753114
2026-06-19,032830,삼성생명,497000.0,99400000000000.0,200000000,497000.0,18071.0,29709.0,8981287000.0,14765373000.0,금융,7398874682927318.0,1.3434475411424731
2026-06-19,055550,신한지주,100900.0,47892625024900.0,474654361,100900.0,-232259.0,297621.0,-23434933100.0,30029958900.0,금융,7398874682927318.0,0.6472960697038267
2026-06-19,086790,하나금융지주,123500.0,33884416878000.0,274367748,123500.0,-93622.0,70576.0,-11562317000.0,8716136000.0,금융,7398874682927318.0,0.4579671683882859
2026-06-19,105560,KB금융,158300.0,56147068292200.0,354687734,158300.0,-67088.0,-145476.0,-10620030400.0,-23028850800.0,금융,7398874682927318.0,0.7588595657898853
2026-06-19,316140,우리금융지주,31050.0,22793069736000.0,734076320,31050.0,-290762.0,305874.0,-9028160100.0,9497387700.0,금융,7398874682927318.0,0.30806130273559473
2026-06-19,000660,SK하이닉스,2764000.0,1969909336860000.0,712702365,2764000.0,259188.0,-317848.0,716395632000.0,-878531872000.0,반도체,7398874682927318.0,26.624445220102277
2026-06-19,005930,삼성전자,354000.0,2069582627232000.0,5846278608,354000.0,-1380348.0,-2468914.0,-488643192000.0,-873995556000.0,반도체,7398874682927318.0,27.971586436076556
2026-06-19,003230,삼양식품,1103000.0,8308915545000.0,7533015,1103000.0,-27090.0,15773.0,-29880270000.0,17397619000.0,생활소비재,7398874682927318.0,0.11229971990433321
2026-06-19,015760,한국전력,37900.0,24330438518300.0,641964077,37900.0,-401705.0,-431484.0,-15224619500.0,-16353243600.0,생활소비재,7398874682927318.0,0.3288397163212098
2026-06-19,033780,KT&G,180000.0,18685882080000.0,103810456,180000.0,-74486.0,45452.0,-13407480000.0,8181360000.0,생활소비재,7398874682927318.0,0.25255032529631993
2026-06-19,090430,아모레퍼시픽,104600.0,6118342591400.0,58492759,104600.0,-33807.0,-9139.0,-3536212200.0,-955939400.0,생활소비재,7398874682927318.0,0.08269288038514684
2026-06-19,278470,에이피알,385500.0,14432408752500.0,37438155,385500.0,72.0,34602.0,27756000.0,13339071000.0,생활소비재,7398874682927318.0,0.19506221379586752
2026-06-22,024110,기업은행,20550.0,16387101607950.0,797425869,20550.0,-366453.0,-44293.0,-7530609150.0,-910221150.0,금융,7449592792676141.0,0.21997311885369789
2026-06-22,032830,삼성생명,450500.0,90100000000000.0,200000000,450500.0,-5415.0,-37722.0,-2439457500.0,-16993761000.0,금융,7449592792676141.0,1.2094620807808354
2026-06-22,055550,신한지주,97500.0,46278800197500.0,474654361,97500.0,-208619.0,112947.0,-20340352500.0,11012332500.0,금융,7449592792676141.0,0.6212259043608089
2026-06-22,086790,하나금융지주,119700.0,32841819435600.0,274367748,119700.0,-96166.0,49417.0,-11511070200.0,5915214900.0,금융,7449592792676141.0,0.4408538875827887
2026-06-22,105560,KB금융,157000.0,55685974238000.0,354687734,157000.0,-158486.0,117694.0,-24882302000.0,18477958000.0,금융,7449592792676141.0,0.7475035990255213
2026-06-22,316140,우리금융지주,29850.0,21912178152000.0,734076320,29850.0,-374703.0,-28503.0,-11184884550.0,-850814550.0,금융,7449592792676141.0,0.2941392739418233
2026-06-22,000660,SK하이닉스,2919000.0,2080378203435000.0,712702365,2919000.0,419974.0,-502831.0,1225904106000.0,-1467763689000.0,반도체,7449592792676141.0,27.92606604592221
2026-06-22,005930,삼성전자,353500.0,2066659487928000.0,5846278608,353500.0,-328401.0,-1266729.0,-116089753500.0,-447788701500.0,반도체,7449592792676141.0,27.74191214800061
2026-06-22,003230,삼양식품,1070000.0,8060326050000.0,7533015,1070000.0,6592.0,-2804.0,7053440000.0,-3000280000.0,생활소비재,7449592792676141.0,0.10819820994678105
2026-06-22,015760,한국전력,38000.0,24394634926000.0,641964077,38000.0,-97252.0,453343.0,-3695576000.0,17227034000.0,생활소비재,7449592792676141.0,0.3274626627912186
2026-06-22,033780,KT&G,174900.0,18156448754400.0,103810456,174900.0,-51866.0,27447.0,-9071363400.0,4800480300.0,생활소비재,7449592792676141.0,0.24372404317521898
2026-06-22,090430,아모레퍼시픽,100700.0,5890220831300.0,58492759,100700.0,-49128.0,-19265.0,-4947189600.0,-1939985500.0,생활소비재,7449592792676141.0,0.07906768860025216
2026-06-22,278470,에이피알,373000.0,13964431815000.0,37438155,373000.0,-26977.0,17536.0,-10062421000.0,6540928000.0,생활소비재,7449592792676141.0,0.18745228368359598
2026-06-23,024110,기업은행,20250.0,16147873847250.0,797425869,20250.0,-147873.0,-9829.0,-2994428250.0,-199037250.0,금융,6706835470356674.0,0.24076740690332227
2026-06-23,032830,삼성생명,425000.0,85000000000000.0,200000000,425000.0,-1576.0,27146.0,-669800000.0,11537050000.0,금융,6706835470356674.0,1.2673637272852265
2026-06-23,055550,신한지주,97700.0,46373731069700.0,474654361,97700.0,-70664.0,135051.0,-6903872800.0,13194482700.0,금융,6706835470356674.0,0.6914398194896201
2026-06-23,086790,하나금융지주,115500.0,31689474894000.0,274367748,115500.0,-99701.0,29140.0,-11515465500.0,3365670000.0,금융,6706835470356674.0,0.4724951884396641
2026-06-23,105560,KB금융,153700.0,54515504715800.0,354687734,153700.0,65019.0,-113751.0,9993420300.0,-17483528700.0,금융,6706835470356674.0,0.8128349794288426
2026-06-23,316140,우리금융지주,29450.0,21618547624000.0,734076320,29450.0,-441028.0,683683.0,-12988274600.0,20134464350.0,금융,6706835470356674.0,0.3223360364146567
2026-06-23,000660,SK하이닉스,2555000.0,1820954542575000.0,712702365,2555000.0,-925092.0,-937255.0,-2363610060000.0,-2394686525000.0,반도체,6706835470356674.0,27.150726309350787
2026-06-23,005930,삼성전자,310000.0,1812346368480000.0,5846278608,310000.0,-4359775.0,-2251501.0,-1351530250000.0,-697965310000.0,반도체,6706835470356674.0,27.022377043395966
