Date,Code,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Name,Stocks,Marcap,Close,Latest_Name,Latest_Stocks,Basket,Foreign_Net_Est_Value,Institution_Net_Est_Value
2026-06-08,090430,105000.0,5649.0,20014.0,아모레퍼시픽,58492759.0,6141739695000.0,105000.0,아모레퍼시픽,58492759,생활소비재,2101470000.0,593145000.0
2026-06-08,278470,366000.0,-16735.0,15316.0,에이피알,37438155.0,13702364730000.0,366000.0,에이피알,37438155,생활소비재,5605656000.0,-6125010000.0
2026-06-09,024110,20550.0,34518.0,262345.0,기업은행,797425869.0,16387101607950.0,20550.0,기업은행,797425869,금융,5391189750.0,709344900.0
2026-06-09,032830,393000.0,35623.0,-31703.0,삼성생명,200000000.0,78600000000000.0,393000.0,삼성생명,200000000,금융,-12459279000.0,13999839000.0
2026-06-09,055550,101200.0,330978.0,-199424.0,신한지주,474654361.0,48035021333200.0,101200.0,신한지주,469450239,금융,-20181708800.0,33494973600.0
2026-06-09,086790,119000.0,113606.0,33654.0,하나금융지주,274367748.0,32649762012000.0,119000.0,하나금융지주,274367748,금융,4004826000.0,13519114000.0
2026-06-09,105560,154800.0,113037.0,-54764.0,KB금융,354687734.0,54905661223200.0,154800.0,KB금융,354687734,금융,-8477467200.0,17498127600.0
2026-06-09,316140,30000.0,679800.0,-439769.0,우리금융지주,734076320.0,22022289600000.0,30000.0,우리금융지주,728089682,금융,-13193070000.0,20394000000.0
2026-06-09,000660,2215000.0,854714.0,-626165.0,SK하이닉스,712702365.0,1578635738475000.0,2215000.0,SK하이닉스,730492365,반도체,-1386955475000.0,1893191510000.0
2026-06-09,005930,322000.0,1767022.0,-1596173.0,삼성전자,5846278608.0,1882501711776000.0,322000.0,삼성전자,5846278608,반도체,-513967706000.0,568981084000.0
2026-06-09,003230,1110000.0,5560.0,-4975.0,삼양식품,7533015.0,8361646650000.0,1110000.0,삼양식품,7533015,생활소비재,-5522250000.0,6171600000.0
2026-06-09,015760,36100.0,99567.0,-422325.0,한국전력,641964077.0,23174903179700.0,36100.0,한국전력,641964077,생활소비재,-15245932500.0,3594368700.0
2026-06-09,033780,184300.0,-11425.0,66692.0,KT&G,103810456.0,19132267040800.0,184300.0,KT&G,103810456,생활소비재,12291335600.0,-2105627500.0
2026-06-09,090430,112000.0,46310.0,35614.0,아모레퍼시픽,58492759.0,6551189008000.0,112000.0,아모레퍼시픽,58492759,생활소비재,3988768000.0,5186720000.0
2026-06-09,278470,405000.0,81905.0,-33616.0,에이피알,37438155.0,15162452775000.0,405000.0,에이피알,37438155,생활소비재,-13614480000.0,33171525000.0
2026-06-10,024110,20900.0,-152187.0,321790.0,기업은행,797425869.0,16666200662100.0,20900.0,기업은행,797425869,금융,6725411000.0,-3180708300.0
2026-06-10,032830,368000.0,-78035.0,85717.0,삼성생명,200000000.0,73600000000000.0,368000.0,삼성생명,200000000,금융,31543856000.0,-28716880000.0
2026-06-10,055550,98200.0,304900.0,-333769.0,신한지주,474654361.0,46611058250200.0,98200.0,신한지주,469450239,금융,-32776115800.0,29941180000.0
2026-06-10,086790,117900.0,119577.0,-91167.0,하나금융지주,274367748.0,32347957489200.0,117900.0,하나금융지주,274367748,금융,-10748589300.0,14098128300.0
2026-06-10,105560,154000.0,88364.0,-88695.0,KB금융,354687734.0,54621911036000.0,154000.0,KB금융,354687734,금융,-13659030000.0,13608056000.0
2026-06-10,316140,29800.0,54880.0,14001.0,우리금융지주,734076320.0,21875474336000.0,29800.0,우리금융지주,728089682,금융,417229800.0,1635424000.0
2026-06-10,000660,2048000.0,-702023.0,-273910.0,SK하이닉스,712702365.0,1459614443520000.0,2048000.0,SK하이닉스,730492365,반도체,-560967680000.0,-1437743104000.0
2026-06-10,005930,302500.0,-2851841.0,-3840270.0,삼성전자,5846278608.0,1768499278920000.0,302500.0,삼성전자,5846278608,반도체,-1161681675000.0,-862681902500.0
